Region_code,Region_label,Civilstand_code,Civilstand_label,Alder_code,Alder_label,Kon_code,Kon_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
01,Stockholms län,OG,ogifta,68,68 år,1,män,BE0101N1,Folkmängd,2024,2024,2316
01,Stockholms län,OG,ogifta,68,68 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,2095
01,Stockholms län,OG,ogifta,69,69 år,1,män,BE0101N1,Folkmängd,2024,2024,2103
01,Stockholms län,OG,ogifta,69,69 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1952
01,Stockholms län,OG,ogifta,70,70 år,1,män,BE0101N1,Folkmängd,2024,2024,1926
01,Stockholms län,OG,ogifta,70,70 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1742
01,Stockholms län,OG,ogifta,71,71 år,1,män,BE0101N1,Folkmängd,2024,2024,1840
01,Stockholms län,OG,ogifta,71,71 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1732
01,Stockholms län,OG,ogifta,72,72 år,1,män,BE0101N1,Folkmängd,2024,2024,1689
01,Stockholms län,OG,ogifta,72,72 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1713
01,Stockholms län,OG,ogifta,73,73 år,1,män,BE0101N1,Folkmängd,2024,2024,1566
01,Stockholms län,OG,ogifta,73,73 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1560
01,Stockholms län,OG,ogifta,74,74 år,1,män,BE0101N1,Folkmängd,2024,2024,1389
01,Stockholms län,OG,ogifta,74,74 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1436
01,Stockholms län,OG,ogifta,75,75 år,1,män,BE0101N1,Folkmängd,2024,2024,1403
01,Stockholms län,OG,ogifta,75,75 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1491
01,Stockholms län,OG,ogifta,76,76 år,1,män,BE0101N1,Folkmängd,2024,2024,1268
01,Stockholms län,OG,ogifta,76,76 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1441
01,Stockholms län,OG,ogifta,77,77 år,1,män,BE0101N1,Folkmängd,2024,2024,1210
01,Stockholms län,OG,ogifta,77,77 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1285
01,Stockholms län,OG,ogifta,78,78 år,1,män,BE0101N1,Folkmängd,2024,2024,1212
01,Stockholms län,OG,ogifta,78,78 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1198
01,Stockholms län,OG,ogifta,79,79 år,1,män,BE0101N1,Folkmängd,2024,2024,1025
01,Stockholms län,OG,ogifta,79,79 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,1095
01,Stockholms län,OG,ogifta,80,80 år,1,män,BE0101N1,Folkmängd,2024,2024,889
01,Stockholms län,OG,ogifta,80,80 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,953
01,Stockholms län,OG,ogifta,81,81 år,1,män,BE0101N1,Folkmängd,2024,2024,699
01,Stockholms län,OG,ogifta,81,81 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,817
01,Stockholms län,OG,ogifta,82,82 år,1,män,BE0101N1,Folkmängd,2024,2024,556
01,Stockholms län,OG,ogifta,82,82 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,667
01,Stockholms län,OG,ogifta,83,83 år,1,män,BE0101N1,Folkmängd,2024,2024,424
01,Stockholms län,OG,ogifta,83,83 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,498
01,Stockholms län,OG,ogifta,84,84 år,1,män,BE0101N1,Folkmängd,2024,2024,350
01,Stockholms län,OG,ogifta,84,84 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,411
01,Stockholms län,OG,ogifta,85,85 år,1,män,BE0101N1,Folkmängd,2024,2024,242
01,Stockholms län,OG,ogifta,85,85 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,377
01,Stockholms län,OG,ogifta,86,86 år,1,män,BE0101N1,Folkmängd,2024,2024,195
01,Stockholms län,OG,ogifta,86,86 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,297
01,Stockholms län,OG,ogifta,87,87 år,1,män,BE0101N1,Folkmängd,2024,2024,147
01,Stockholms län,OG,ogifta,87,87 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,252
01,Stockholms län,OG,ogifta,88,88 år,1,män,BE0101N1,Folkmängd,2024,2024,121
01,Stockholms län,OG,ogifta,88,88 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,232
01,Stockholms län,OG,ogifta,89,89 år,1,män,BE0101N1,Folkmängd,2024,2024,89
01,Stockholms län,OG,ogifta,89,89 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,186
