region_code,region,atc,year,patients,population,patients_per_100k,national_per_100k,expected_patients,gap,gap_pct,gap_category,brand,indication_short,healthcare_region
04,Sörmland,N07XX08,2024,7,301542,2.321401330494591,4.372994726905063,13,-6,-46.15384615384615,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Mellansverige
04,Sörmland,L01XK04,2024,0,301542,0,0.29279230352928065,1,-1,-100,Severe under-use (≤−50%),Talzenna,BRCA-mut HER2- BC,Mellansverige
04,Sörmland,L01ED04,2024,1,301542,0.33162876149922726,0.5194702159390463,2,-1,-50,Severe under-use (≤−50%),Lorbrena/Lorviqua,ALK+ NSCLC,Mellansverige
04,Sörmland,L01EH03,2024,1,301542,0.33162876149922726,0.547804954990267,2,-1,-50,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Mellansverige
04,Sörmland,N02CD06,2024,65,301542,21.555869497449773,25.2651423206718,76,-11,-14.473684210526317,Near expected (±20%),Vydura,Acute migraine,Mellansverige
04,Sörmland,J05AE30,2024,29,301542,9.617234083477591,6.318646808422218,19,10,52.63157894736842,Severe over-use (≥+50%),Paxlovid,COVID-19,Mellansverige
05,Östergötland,L01EF01,2024,35,472446,7.408254065014837,7.112019501856397,34,1,2.941176470588235,Near expected (±20%),Ibrance,HR+/HER2- BC,Sydöstra
05,Östergötland,N07XX08,2024,11,472446,2.3283084204332347,4.372994726905063,21,-10,-47.61904761904761,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Sydöstra
05,Östergötland,L01XK04,2024,3,472446,0.6349932055727004,0.29279230352928065,1,2,200,Severe over-use (≥+50%),Talzenna,BRCA-mut HER2- BC,Sydöstra
05,Östergötland,L01ED04,2024,7,472446,1.4816508130029675,0.5194702159390463,2,5,250,Severe over-use (≥+50%),Lorbrena/Lorviqua,ALK+ NSCLC,Sydöstra
05,Östergötland,L01EH03,2024,2,472446,0.42332880371513354,0.547804954990267,3,-1,-33.33333333333333,Moderate under-use (−50 to −20%),Tukysa,HER2+ BC + brain mets,Sydöstra
05,Östergötland,N02CD06,2024,53,472446,11.21821329845104,25.2651423206718,119,-66,-55.46218487394958,Severe under-use (≤−50%),Vydura,Acute migraine,Sydöstra
05,Östergötland,J05AE30,2024,45,472446,9.524898083590505,6.318646808422218,30,15,50,Severe over-use (≥+50%),Paxlovid,COVID-19,Sydöstra
06,Jönköping,L01EF01,2024,13,370009,3.5134280517500924,7.112019501856397,26,-13,-50,Severe under-use (≤−50%),Ibrance,HR+/HER2- BC,Sydöstra
06,Jönköping,N07XX08,2024,6,370009,1.6215821777308117,4.372994726905063,16,-10,-62.5,Severe under-use (≤−50%),Vyndaqel,ATTR-CM,Sydöstra
06,Jönköping,L01XK04,2024,2,370009,0.5405273925769374,0.29279230352928065,1,1,100,Severe over-use (≥+50%),Talzenna,BRCA-mut HER2- BC,Sydöstra
06,Jönköping,L01ED04,2024,1,370009,0.2702636962884687,0.5194702159390463,2,-1,-50,Severe under-use (≤−50%),Lorbrena/Lorviqua,ALK+ NSCLC,Sydöstra
06,Jönköping,L01EH03,2024,2,370009,0.5405273925769374,0.547804954990267,2,0,0,Near expected (±20%),Tukysa,HER2+ BC + brain mets,Sydöstra
06,Jönköping,N02CD06,2024,86,370009,23.242677880808305,25.2651423206718,93,-7,-7.526881720430108,Near expected (±20%),Vydura,Acute migraine,Sydöstra
06,Jönköping,J05AE30,2024,3,370009,0.8107910888654059,6.318646808422218,23,-20,-86.95652173913044,Severe under-use (≤−50%),Paxlovid,COVID-19,Sydöstra
