kpi,kpi_title,region_code,region,year,value_kr_per_inv,status
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0013,Region Halland,2024,36264.685,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0014,Västra Götalandsregionen,2024,33760.881,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0017,Region Värmland,2024,37189.82,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0018,Region Örebro län,2024,37473.854,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0019,Region Västmanland,2024,37231.734,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0020,Region Dalarna,2024,37728.671,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0021,Region Gävleborg,2024,39566.626,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0022,Region Västernorrland,2024,40176.759,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0023,Region Jämtland Härjedalen,2024,41298.112,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0024,Region Västerbotten,2024,37899.536,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0025,Region Norrbotten,2024,41762.529,
N71007,"Nettokostnad primärvård totalt, kr/inv",0001,Region Stockholm,2024,5722.298,
N71007,"Nettokostnad primärvård totalt, kr/inv",0003,Region Uppsala,2024,5883.621,
N71007,"Nettokostnad primärvård totalt, kr/inv",0004,Region Sörmland,2024,6785.124,
N71007,"Nettokostnad primärvård totalt, kr/inv",0005,Region Östergötland,2024,5882.153,
N71007,"Nettokostnad primärvård totalt, kr/inv",0006,Region Jönköpings län,2024,6364.71,
N71007,"Nettokostnad primärvård totalt, kr/inv",0007,Region Kronoberg,2024,5640.493,
N71007,"Nettokostnad primärvård totalt, kr/inv",0008,Region Kalmar,2024,6750.503,
