disease,region_name,region_code,year,metric,value
tbe,Kronoberg,07,2008,cases,0.0
tbe,Kronoberg,07,2008,incidence_per_100k,0.0
tbe,Kronoberg,07,2009,cases,0.0
tbe,Kronoberg,07,2009,incidence_per_100k,0.0
tbe,Kronoberg,07,2010,cases,1.0
tbe,Kronoberg,07,2010,incidence_per_100k,0.54
tbe,Kronoberg,07,2011,cases,1.0
tbe,Kronoberg,07,2011,incidence_per_100k,0.54
tbe,Kronoberg,07,2012,cases,2.0
tbe,Kronoberg,07,2012,incidence_per_100k,1.08
tbe,Kronoberg,07,2013,cases,3.0
tbe,Kronoberg,07,2013,incidence_per_100k,1.6
tbe,Kronoberg,07,2014,cases,0.0
tbe,Kronoberg,07,2014,incidence_per_100k,0.0
tbe,Kronoberg,07,2015,cases,2.0
tbe,Kronoberg,07,2015,incidence_per_100k,1.05
tbe,Kronoberg,07,2016,cases,2.0
tbe,Kronoberg,07,2016,incidence_per_100k,1.03
tbe,Kronoberg,07,2017,cases,3.0
tbe,Kronoberg,07,2017,incidence_per_100k,1.52
tbe,Kronoberg,07,2018,cases,6.0
tbe,Kronoberg,07,2018,incidence_per_100k,3.0
tbe,Kronoberg,07,2019,cases,4.0
tbe,Kronoberg,07,2019,incidence_per_100k,1.99
tbe,Kronoberg,07,2020,cases,0.0
tbe,Kronoberg,07,2020,incidence_per_100k,0.0
tbe,Kronoberg,07,2021,cases,3.0
tbe,Kronoberg,07,2021,incidence_per_100k,1.48
tbe,Kronoberg,07,2022,cases,3.0
tbe,Kronoberg,07,2022,incidence_per_100k,1.47
tbe,Kronoberg,07,2023,cases,8.0
