category,kpi,title,region_code,region,year,value
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0001,Region Stockholm,2024,45.9
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0003,Region Uppsala,2024,43.9
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0004,Region Sörmland,2024,50.7
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0005,Region Östergötland,2024,43.6
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0006,Region Jönköpings län,2024,39.0
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0007,Region Kronoberg,2024,41.9
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0008,Region Kalmar,2024,46.7
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0009,Region Gotland,2024,45.4
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0010,Region Blekinge,2024,50.2
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0012,Region Skåne,2024,52.6
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0013,Region Halland,2024,41.8
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0014,Västra Götalandsregionen,2024,45.7
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0017,Region Värmland,2024,47.4
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0018,Region Örebro län,2024,51.5
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0019,Region Västmanland,2024,47.0
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0020,Region Dalarna,2024,43.3
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0021,Region Gävleborg,2024,50.4
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0022,Region Västernorrland,2024,44.6
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0023,Region Jämtland Härjedalen,2024,34.9
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0024,Region Västerbotten,2024,38.4
oncology_lung,N02013,"Lung cancer mortality, 25+, per 100k",0025,Region Norrbotten,2024,48.1
oncology_lung,N60912,"Lung cancer incidence, per 100k",0001,Region Stockholm,2024,38.14835
oncology_lung,N60912,"Lung cancer incidence, per 100k",0003,Region Uppsala,2024,43.32302
oncology_lung,N60912,"Lung cancer incidence, per 100k",0004,Region Sörmland,2024,38.44331
oncology_lung,N60912,"Lung cancer incidence, per 100k",0005,Region Östergötland,2024,39.58744
oncology_lung,N60912,"Lung cancer incidence, per 100k",0006,Region Jönköpings län,2024,31.94088
oncology_lung,N60912,"Lung cancer incidence, per 100k",0007,Region Kronoberg,2024,29.48134
oncology_lung,N60912,"Lung cancer incidence, per 100k",0008,Region Kalmar,2024,44.62302
oncology_lung,N60912,"Lung cancer incidence, per 100k",0009,Region Gotland,2024,39.34426
oncology_lung,N60912,"Lung cancer incidence, per 100k",0010,Region Blekinge,2024,52.03111
oncology_lung,N60912,"Lung cancer incidence, per 100k",0012,Region Skåne,2024,43.15173
oncology_lung,N60912,"Lung cancer incidence, per 100k",0013,Region Halland,2024,38.90711
oncology_lung,N60912,"Lung cancer incidence, per 100k",0014,Västra Götalandsregionen,2024,41.35783
oncology_lung,N60912,"Lung cancer incidence, per 100k",0017,Region Värmland,2024,39.51091
oncology_lung,N60912,"Lung cancer incidence, per 100k",0018,Region Örebro län,2024,43.79625
oncology_lung,N60912,"Lung cancer incidence, per 100k",0019,Region Västmanland,2024,29.53889
oncology_lung,N60912,"Lung cancer incidence, per 100k",0020,Region Dalarna,2024,44.96348
oncology_lung,N60912,"Lung cancer incidence, per 100k",0021,Region Gävleborg,2024,52.26236
oncology_lung,N60912,"Lung cancer incidence, per 100k",0022,Region Västernorrland,2024,45.90513
oncology_lung,N60912,"Lung cancer incidence, per 100k",0023,Region Jämtland Härjedalen,2024,44.45934
oncology_lung,N60912,"Lung cancer incidence, per 100k",0024,Region Västerbotten,2024,34.29385
oncology_lung,N60912,"Lung cancer incidence, per 100k",0025,Region Norrbotten,2024,40.63568
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0001,Region Stockholm,2024,44.55
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0003,Region Uppsala,2024,46.63
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0004,Region Sörmland,2024,35.7
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0005,Region Östergötland,2024,36.52
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0006,Region Jönköpings län,2024,33.36
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0007,Region Kronoberg,2024,32.34
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0008,Region Kalmar,2024,35.28
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0009,Region Gotland,2024,26.52
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0010,Region Blekinge,2024,40.15
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0012,Region Skåne,2024,42.19
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0013,Region Halland,2024,34.37
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0014,Västra Götalandsregionen,2024,41.63
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0017,Region Värmland,2024,33.32
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0018,Region Örebro län,2024,43.18
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0019,Region Västmanland,2024,26.34
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0020,Region Dalarna,2024,36.64
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0021,Region Gävleborg,2024,44.34
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0022,Region Västernorrland,2024,33.49
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0023,Region Jämtland Härjedalen,2024,42.93
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0024,Region Västerbotten,2024,31.69
oncology_lung,N70342,"Lung cancer prevalence, women, per 100k",0025,Region Norrbotten,2024,32.4
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0001,Region Stockholm,2024,37.11
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0003,Region Uppsala,2024,39.59
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0004,Region Sörmland,2024,24.07
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0005,Region Östergötland,2024,32.49
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0006,Region Jönköpings län,2024,20.05
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0007,Region Kronoberg,2024,18.71
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0008,Region Kalmar,2024,26.33
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0009,Region Gotland,2024,27.29
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0010,Region Blekinge,2024,34.13
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0012,Region Skåne,2024,36.26
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0013,Region Halland,2024,28.33
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0014,Västra Götalandsregionen,2024,32.72
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0017,Region Värmland,2024,23.32
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0018,Region Örebro län,2024,27.83
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0019,Region Västmanland,2024,20.87
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0020,Region Dalarna,2024,26.77
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0021,Region Gävleborg,2024,30.57
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0022,Region Västernorrland,2024,32.9
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0023,Region Jämtland Härjedalen,2024,24.89
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0024,Region Västerbotten,2024,24.6
oncology_lung,N70343,"Lung cancer prevalence, men, per 100k",0025,Region Norrbotten,2024,27.6
oncology_prostate,N70344,"Prostate cancer prevalence, per 100k",0001,Region Stockholm,2024,185.11
